Latitude;Longitude;OBJECTID;PONTO_RECOLHA_FREGUESIA;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TIPO;CONTENTOR_CAPACIDADE;CONTENTOR_QT;CONTENTOR_TOTAL_LITROS
-9.143308809;38.70807879;355;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Lixos;CV0090;90;1;90
-9.143308809;38.70807879;356;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Lixos;CV0240;240;7;1680
-9.143308809;38.70807879;357;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Lixos;CV0090;90;1;90
-9.143308809;38.70807879;358;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Papel e Cartão;CV0240;240;6;1440
-9.143308809;38.70807879;359;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Papel e Cartão;CV0090;90;1;90
-9.143377778;38.70807819;368;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0240;240;1;240
-9.143377778;38.70807819;369;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0140;140;6;840
-9.143377778;38.70807819;370;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0120;120;1;120
-9.143377778;38.70807819;360;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0090;90;2;180
-9.142622569;38.70669752;384;Misericórdia;15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodré);Lixos;CV0240;240;4;960
-9.142622569;38.70669752;385;Misericórdia;15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodré);Papel e Cartão;CV0140;240;1;240
-9.142408356;38.70699663;386;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0120;140;3;420
-9.142408356;38.70699663;387;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0090;240;4;960
-9.142408356;38.70699663;388;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0140;140;3;420
-9.142408356;38.70699663;389;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0090;240;4;960
-9.142408356;38.70699663;390;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Papel e Cartão;CA0090;240;1;240
-9.147044252;38.70801938;463;Misericórdia;15841: R Moeda (Ambos (1->11)(2->6): R São Paulo - Pc Dom Luís I);Lixos;CV0240;240;9;2160
-9.147044252;38.70801938;464;Misericórdia;15841: R Moeda (Ambos (1->11)(2->6): R São Paulo - Pc Dom Luís I);Lixos;CV0140;140;5;700
-9.147044252;38.70801938;465;Misericórdia;15841: R Moeda (Ambos (1->11)(2->6): R São Paulo - Pc Dom Luís I);Lixos;CV0240;240;9;2160
-9.147044252;38.70801938;466;Misericórdia;15841: R Moeda (Ambos (1->11)(2->6): R São Paulo - Pc Dom Luís I);Lixos;CV0140;140;5;700
-9.146144218;38.70778398;467;Misericórdia;15842: Tv Carvalho (Ambos (->)(->): R Ribeira Nova - Tv Carvalho);Lixos;CV0240;90;1;90
-9.146144218;38.70778398;468;Misericórdia;15842: Tv Carvalho (Ambos (->)(->): R Ribeira Nova - Tv Carvalho);Lixos;CV0140;90;1;90
-9.145639847;38.70788744;469;Misericórdia;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc São Paulo);Lixos;CV0140;90;1;90
-9.145639847;38.70788744;470;Misericórdia;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc São Paulo);Lixos;CV0240;140;4;560
-9.145639847;38.70788744;471;Misericórdia;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc São Paulo);Lixos;CV0140;240;2;480
-9.145639847;38.70788744;472;Misericórdia;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc São Paulo);Papel e Cartão;CV0240;90;1;90
-9.145639847;38.70788744;473;Misericórdia;15843: Tv Carvalho (Ambos (->)(->): Tv Carvalho - Pc São Paulo);Papel e Cartão;CV0140;140;2;280
-9.145988636;38.70816366;474;Misericórdia;15844: Tv Carvalho (Ambos (->)(->): Tv Carvalho - R São Paulo);Lixos;CV0120;140;1;140
-9.148290555;38.70754014;482;Misericórdia;15848: R Dom Luís I (Ambos (1->7)(2->12): Bqr dos Ferreiros - Pc Dom Luís I);Lixos;CV0240;1100;4;4400
-9.148290555;38.70754014;483;Misericórdia;15848: R Dom Luís I (Ambos (1->7)(2->12): Bqr dos Ferreiros - Pc Dom Luís I);Lixos;CV0240;120;1;120
-9.148290555;38.70754014;484;Misericórdia;15848: R Dom Luís I (Ambos (1->7)(2->12): Bqr dos Ferreiros - Pc Dom Luís I);Lixos;CV0240;90;1;90
-9.147146202;38.70709969;485;Misericórdia;15849: Pc Dom Luís I (Ambos (1->27)(->): R Dom Luís I - Av 24 de Julho);Lixos;CV0140;240;4;960
-9.148353992;38.71039507;486;Misericórdia;15850: Tv Condessa do Rio, Fte 3;Lixos;CV0240;240;3;720
-9.148353992;38.71039507;487;Misericórdia;15850: Tv Condessa do Rio, Fte 3;Lixos;CV0140;240;3;720
-9.148353992;38.71039507;488;Misericórdia;15850: Tv Condessa do Rio, Fte 3;Embalagens;CV0240;240;1;240
-9.146715901;38.70756283;489;Misericórdia;15851: Pc Dom Luís I (Ambos (29->34)(->): R Ribeira Nova - R Dom Luís I);Lixos;CV0240;240;1;240
-9.146715901;38.70756283;490;Misericórdia;15851: Pc Dom Luís I (Ambos (29->34)(->): R Ribeira Nova - R Dom Luís I);Lixos;CV0140;140;2;280
-9.146715901;38.70756283;491;Misericórdia;15851: Pc Dom Luís I (Ambos (29->34)(->): R Ribeira Nova - R Dom Luís I);Papel e Cartão;CV0240;140;2;280
-9.144930015;38.70728106;494;Misericórdia;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amélia);Lixos;CV0120;140;1;140
-9.144930015;38.70728106;495;Misericórdia;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amélia);Lixos;CV0140;120;1;120
-9.144930015;38.70728106;496;Misericórdia;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amélia);Lixos;CV0240;90;1;90
-9.144930015;38.70728106;492;Misericórdia;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amélia);Lixos;CV0120;240;1;240
-9.144930015;38.70728106;493;Misericórdia;15852: R Ribeira Nova (Ambos (1->)(2->20): R Remolares - R Instituto Dona Amélia);Papel e Cartão;CV0240;240;1;240
-9.145853665;38.7075613;497;Misericórdia;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amélia - Pc Dom Luís I);Lixos;CV0140;120;1;120
-9.145853665;38.7075613;498;Misericórdia;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amélia - Pc Dom Luís I);Lixos;CV0090;140;3;420
-9.145853665;38.7075613;499;Misericórdia;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amélia - Pc Dom Luís I);Lixos;CV0240;90;1;90
-9.145853665;38.7075613;500;Misericórdia;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amélia - Pc Dom Luís I);Lixos;CV0140;240;2;480
-9.145853665;38.7075613;501;Misericórdia;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amélia - Pc Dom Luís I);Papel e Cartão;CV0090;340;2;680
-9.145853665;38.7075613;502;Misericórdia;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amélia - Pc Dom Luís I);Papel e Cartão;CV0120;90;1;90
-9.145853665;38.7075613;503;Misericórdia;15853: R Ribeira Nova (Ambos (->)(22->64): R Instituto Dona Amélia - Pc Dom Luís I);Papel e Cartão;CV0140;240;3;720
-9.144754745;38.70789511;531;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Lixos;CV0090;140;5;700
-9.144754745;38.70789511;532;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Lixos;CV0240;240;2;480
-9.144754745;38.70789511;533;Misericórdia;15859: R São Paulo (Ambos (->)(88->118): Pc São Paulo - Pc São Paulo);Papel e Cartão;CV0120;140;1;140
-9.144764004;38.70692219;641;Misericórdia;15884: Pc Ribeira Nova (Ambos (->)(2->18): Av 24 de Julho - R Ribeira Nova);Papel e Cartão;CV0140;1100;1;1100
-9.145088222;38.70790123;642;Misericórdia;15885: Pc São Paulo (Ambos (->)(->): R São Paulo - Tv Carvalho);Lixos;CV0090;240;1;240
-9.145088222;38.70790123;643;Misericórdia;15885: Pc São Paulo (Ambos (->)(->): R São Paulo - Tv Carvalho);Lixos;CV0240;240;1;240
-9.144888868;38.70762372;644;Misericórdia;15886: Pc São Paulo (Ambos (1->9)(4->8): Tv Carvalho - Tv Ribeira Nova);Lixos;CV0120;140;4;560
