Latitude;Longitude;OBJECTID;PONTO_RECOLHA_FREGUESIA;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TIPO;CONTENTOR_CAPACIDADE;CONTENTOR_QT;CONTENTOR_TOTAL_LITROS
-9,143308809;38,70807879;355;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Lixos;CV0090;90;1;90
-9,143308809;38,70807879;356;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Lixos;CV0240;240;7;1680
-9,143308809;38,70807879;357;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Lixos;CV0090;90;1;90
-9,143308809;38,70807879;358;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Papel e Cartão;CV0240;240;6;1440
-9,143308809;38,70807879;359;Misericórdia;15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde);Papel e Cartão;CV0090;90;1;90
-9,143377778;38,70807819;364;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0240;240;1;240
-9,143377778;38,70807819;365;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0140;140;6;840
-9,143377778;38,70807819;366;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0120;120;1;120
-9,143377778;38,70807819;367;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0090;90;2;180
-9,143377778;38,70807819;368;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0240;240;1;240
-9,143377778;38,70807819;369;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0140;140;6;840
-9,143377778;38,70807819;370;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0120;120;1;120
-9,143377778;38,70807819;360;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Lixos;CV0090;90;2;180
-9,143377778;38,70807819;361;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Papel e Cartão;CV0140;140;2;280
-9,143377778;38,70807819;362;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Papel e Cartão;CV0090;90;1;90
-9,143377778;38,70807819;363;Misericórdia;15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial);Papel e Cartão;CA0090;90;1;90
-9,143481807;38,70730262;371;Misericórdia;15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira);Lixos;CV0240;240;1;240
-9,143481807;38,70730262;372;Misericórdia;15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira);Lixos;CV0140;140;3;420
-9,143481807;38,70730262;373;Misericórdia;15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira);Lixos;CV0240;240;1;240
-9,143481807;38,70730262;374;Misericórdia;15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira);Lixos;CV0140;140;3;420
-9,143481807;38,70730262;375;Misericórdia;15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira);Papel e Cartão;CV0240;240;1;240
-9,143481807;38,70730262;376;Misericórdia;15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira);Papel e Cartão;CV0140;140;1;140
-9,142550987;38,70732868;377;Misericórdia;15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0140;140;2;280
-9,142550987;38,70732868;378;Misericórdia;15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0240;240;4;960
-9,142550987;38,70732868;379;Misericórdia;15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0140;140;2;280
-9,142550987;38,70732868;380;Misericórdia;15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0240;240;4;960
-9,142765961;38,70708361;381;Misericórdia;15809: Tv Corpo Santo (Ambos (->)(->): R Corpo Santo - R Bernardino da Costa);Lixos;CV0140;140;2;280
-9,142765961;38,70708361;382;Misericórdia;15809: Tv Corpo Santo (Ambos (->)(->): R Corpo Santo - R Bernardino da Costa);Lixos;CV0120;120;1;120
-9,142622569;38,70669752;383;Misericórdia;15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodré);Lixos;CV0240;240;4;960
-9,142622569;38,70669752;384;Misericórdia;15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodré);Lixos;CV0240;240;4;960
-9,142622569;38,70669752;385;Misericórdia;15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodré);Papel e Cartão;CV0240;240;1;240
-9,142408356;38,70699663;386;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0140;140;3;420
-9,142408356;38,70699663;387;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0240;240;4;960
-9,142408356;38,70699663;388;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0140;140;3;420
-9,142408356;38,70699663;389;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Lixos;CV0240;240;4;960
-9,142408356;38,70699663;390;Misericórdia;15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo);Papel e Cartão;CV0240;240;1;240
-9,143050155;38,70685596;391;Misericórdia;15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira);Lixos;CV0140;140;5;700
-9,143050155;38,70685596;392;Misericórdia;15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira);Lixos;CV0240;240;3;720
-9,143050155;38,70685596;393;Misericórdia;15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira);Lixos;CV0120;120;3;360
-9,143050155;38,70685596;394;Misericórdia;15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira);Lixos;CV0140;140;5;700
-9,143050155;38,70685596;395;Misericórdia;15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira);Lixos;CV0240;240;3;720
-9,143050155;38,70685596;396;Misericórdia;15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira);Lixos;CV0120;120;3;360
-9,151251124;38,70877545;397;Misericórdia;15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro);Lixos;CV0240;240;10;2400
-9,151251124;38,70877545;398;Misericórdia;15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro);Lixos;CV0140;140;7;980
-9,151251124;38,70877545;399;Misericórdia;15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro);Lixos;CV0090;90;1;90
-9,151251124;38,70877545;400;Misericórdia;15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro);Lixos;CV0240;240;10;2400
-9,151251124;38,70877545;401;Misericórdia;15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro);Lixos;CV0140;140;7;980
-9,151251124;38,70877545;402;Misericórdia;15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro);Lixos;CV0090;90;1;90
-9,151789464;38,70863563;406;Misericórdia;15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;CV0120;120;2;240
-9,151789464;38,70863563;407;Misericórdia;15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;CV0140;140;5;700
-9,151789464;38,70863563;408;Misericórdia;15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;CV0090;90;1;90
-9,151789464;38,70863563;409;Misericórdia;15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;CV0240;240;2;480
-9,151789464;38,70863563;410;Misericórdia;15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;CV0120;120;2;240
-9,151789464;38,70863563;403;Misericórdia;15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;CV0140;140;5;700
-9,151789464;38,70863563;404;Misericórdia;15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;CV0090;90;1;90
-9,151789464;38,70863563;405;Misericórdia;15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros);Lixos;CV0240;240;2;480
-9,152018979;38,70860661;411;Misericórdia;15815: Lg Conde-Barão (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo);Lixos;CV0120;120;1;120
